"","ID.number","DOC.consumed.mg"
"1",1,14.584668599473
"2",2,13.0843107320928
"3",3,13.5919077644648
"4",4,12.8166409253061
"5",5,15.2951431183376
"6",10,16.955898504558
"7",8,13.8579804472196
"8",7,15.1837623368942
"9",6,15.8260797780364
"10",9,16.7845380036344
"11",11,15.003858048805
"12",16,15.5598423060481
"13",14,16.8277980197605
"14",15,13.9923482645367
"15",13,16.0048586104965
"16",12,16.6989727782674
"17",17,18.1759246785184
"18",22,8.38117203980265
"19",29,10.4128236918546
"20",23,7.78445091997403
"21",24,8.06018524932845
"22",31,10.2720571366759
"23",35,9.65383203532146
"24",33,9.12910290406495
"25",21,7.8742740716852
"26",26,9.66964261756846
"27",32,10.1264991553212
"28",28,11.0384710550205
"29",34,10.5497067749368
"30",30,10.3283379198012
"31",27,9.97513380134855
"32",18,13.9881295133964
"33",19,14.5083462140596
"34",25,9.26173893459794
"35",20,14.5829445475397
"36",47,15.5639335713406
"37",62,13.9807202550516
"38",42,14.287255598354
"39",48,14.5547589017602
"40",45,14.1862102126404
"41",63,14.1008180806528
"42",41,14.403201047623
"43",51,16.1354733234338
"44",70,11.6514161038504
"45",49,17.1023966450231
"46",66,15.0822977197818
"47",46,14.2650369476082
"48",56,15.5823558487244
"49",53,15.3227565431719
"50",54,15.7719846970044
"51",72,15.2323185530262
"52",64,15.0321714155505
"53",44,16.4856879296537
"54",36,16.6997061300327
"55",58,22.3401214744211
"56",68,14.3172237803601
"57",43,14.0931601204466
"58",61,13.4415482168342
"59",67,14.6561445815847
"60",50,16.3643636246683
"61",40,16.0009477490853
"62",65,14.56811610336
"63",57,20.6922160913101
"64",37,19.8200558426463
"65",60,18.7227318960441
"66",69,15.3386570038665
"67",52,15.1171512564316
"68",71,12.4990175107081
"69",38,22.2736709208985
"70",59,18.4821358226679
"71",39,21.6189911703959
"72",55,14.98241378623
"73",84,4.54586339394338
"74",81,5.32824576688902
"75",74,8.85863778780205
"76",101,0.594804747708331
"77",91,8.47052442640663
"78",100,7.77626693344907
"79",83,3.15318311881769
"80",92,5.55315398334928
"81",103,0.772358403740675
"82",82,2.85492223752588
"83",86,5.65400438446854
"84",97,10.1214013765144
"85",102,0.523783285295401
"86",90,6.57484013422047
"87",99,9.88367721764384
"88",87,6.22710333701787
"89",75,7.89503875037471
"90",95,5.26204127246187
"91",73,6.17801429286285
"92",88,6.48264211404383
"93",79,11.659362631921
"94",98,8.90124066599345
"95",89,6.72136205518586
"96",76,8.54274885034992
"97",96,5.20655656777258
"98",85,5.14872650736811
"99",77,12.7068309837174
"100",104,-1.8909464367444
"101",80,12.446928596561
"102",93,5.72798174585696
"103",94,5.34271783572186
"104",78,12.4602489582956
